address,frequency,current_address,lon,lat,note
汉城,5,unknown,unknown,unknown,None
伯约,5,unknown,unknown,unknown,None
六甲,5,unknown,unknown,unknown,None
山岭,4,unknown,unknown,unknown,None
回京,4,unknown,unknown,unknown,None
盱眙,4,unknown,unknown,unknown,None
山冈,4,unknown,unknown,unknown,None
太庙,4,unknown,unknown,unknown,None
东郡,4,unknown,unknown,unknown,None
沛国,4,unknown,unknown,unknown,None
安营下寨,4,unknown,unknown,unknown,None
虎狼,4,unknown,unknown,unknown,None
青罗,4,unknown,unknown,unknown,None
南北,4,unknown,unknown,unknown,None
山坞,4,unknown,unknown,unknown,None
东阿,4,unknown,unknown,unknown,None
四壁,4,unknown,unknown,unknown,None
东海,4,unknown,unknown,unknown,None
麦熟,4,unknown,unknown,unknown,None
两京,4,unknown,unknown,unknown,None
泾县,4,unknown,unknown,unknown,None
伏路,4,unknown,unknown,unknown,None
湖口,4,unknown,unknown,unknown,None
四州,4,unknown,unknown,unknown,None
治国,4,unknown,unknown,unknown,None
漠漠,4,unknown,unknown,unknown,None
瓮城,4,unknown,unknown,unknown,None
故尔,4,unknown,unknown,unknown,None
泉水,4,unknown,unknown,unknown,None
旧寨,4,unknown,unknown,unknown,None
邯郸,4,unknown,unknown,unknown,None
咸阳,4,unknown,unknown,unknown,None
中门,4,unknown,unknown,unknown,None
临江,4,unknown,unknown,unknown,None
鄱阳湖,4,unknown,unknown,unknown,None
汉阳,4,unknown,unknown,unknown,None
遂封,4,unknown,unknown,unknown,None
铜雀台,4,unknown,unknown,unknown,None
乌林,4,unknown,unknown,unknown,None
南彝陵,4,unknown,unknown,unknown,None
宜都,4,unknown,unknown,unknown,None
开山,4,unknown,unknown,unknown,None
涪江,4,unknown,unknown,unknown,None
涪水,4,unknown,unknown,unknown,None
平西,4,unknown,unknown,unknown,None
天荡山,4,unknown,unknown,unknown,None
昔者,4,unknown,unknown,unknown,None
褒州,4,unknown,unknown,unknown,None
抚民,4,unknown,unknown,unknown,None
摩陂,4,unknown,unknown,unknown,None
秭归,4,unknown,unknown,unknown,None
蜀汉,4,unknown,unknown,unknown,None
冀县,4,unknown,unknown,unknown,None
越吉,4,unknown,unknown,unknown,None
山西,4,unknown,unknown,unknown,None
太极,4,unknown,unknown,unknown,None
句安,4,unknown,unknown,unknown,None
南顿,4,unknown,unknown,unknown,None
九寨,4,unknown,unknown,unknown,None
乐城,4,unknown,unknown,unknown,None
中平,3,unknown,unknown,unknown,None
涿县,3,unknown,unknown,unknown,None
中风,3,unknown,unknown,unknown,None
漫山塞野,3,unknown,unknown,unknown,None
临洮,3,unknown,unknown,unknown,None
中其,3,unknown,unknown,unknown,None
西州,3,unknown,unknown,unknown,None
陕西,3,unknown,unknown,unknown,None
京城,3,unknown,unknown,unknown,None
渑池,3,unknown,unknown,unknown,None
长乐宫,3,unknown,unknown,unknown,None
登山,3,unknown,unknown,unknown,None
莫大,3,unknown,unknown,unknown,None
洛水,3,unknown,unknown,unknown,None
汝非,3,unknown,unknown,unknown,None
北平,3,unknown,unknown,unknown,None
华雄,3,unknown,unknown,unknown,None
辽西,3,unknown,unknown,unknown,None
武安,3,unknown,unknown,unknown,None
安国,3,unknown,unknown,unknown,None
无虞,3,unknown,unknown,unknown,None
华阴,3,unknown,unknown,unknown,None
武关,3,unknown,unknown,unknown,None
磐河,3,unknown,unknown,unknown,None
美丽,3,unknown,unknown,unknown,None
西寨,3,unknown,unknown,unknown,None
虎口,3,unknown,unknown,unknown,None
平川,3,unknown,unknown,unknown,None
密林,3,unknown,unknown,unknown,None
东路,3,unknown,unknown,unknown,None
沛县,3,unknown,unknown,unknown,None
东宫,3,unknown,unknown,unknown,None
诸县,3,unknown,unknown,unknown,None
襄城,3,unknown,unknown,unknown,None
邳城,3,unknown,unknown,unknown,None
萧关,3,unknown,unknown,unknown,None
砀山,3,unknown,unknown,unknown,None
且莫,3,unknown,unknown,unknown,None
满口,3,unknown,unknown,unknown,None
扬威,3,unknown,unknown,unknown,None
关津,3,unknown,unknown,unknown,None
扬武,3,unknown,unknown,unknown,None
云汉,3,unknown,unknown,unknown,None
延津,3,unknown,unknown,unknown,None
土阜,3,unknown,unknown,unknown,None
西番,3,unknown,unknown,unknown,None
之盟,3,unknown,unknown,unknown,None
千里马,3,unknown,unknown,unknown,None
山寨,3,unknown,unknown,unknown,None
望南,3,unknown,unknown,unknown,None
五寨,3,unknown,unknown,unknown,None
清河,3,unknown,unknown,unknown,None
新野县,3,unknown,unknown,unknown,None
檀溪,3,unknown,unknown,unknown,None
安邦定国,3,unknown,unknown,unknown,None
仙庄,3,unknown,unknown,unknown,None
秦川,3,unknown,unknown,unknown,None
顿开茅塞,3,unknown,unknown,unknown,None
青旗,3,unknown,unknown,unknown,None
乃义阳,3,unknown,unknown,unknown,None
英灵,3,unknown,unknown,unknown,None
汉津,3,unknown,unknown,unknown,None
三江口,3,unknown,unknown,unknown,None
山岩,3,unknown,unknown,unknown,None
中藏,3,unknown,unknown,unknown,None
北风,3,unknown,unknown,unknown,None
樊口,3,unknown,unknown,unknown,None
北彝陵,3,unknown,unknown,unknown,None
柴桑,3,unknown,unknown,unknown,None
上台,3,unknown,unknown,unknown,None
蜀锦,3,unknown,unknown,unknown,None
之劳,3,unknown,unknown,unknown,None
渭口,3,unknown,unknown,unknown,None
入贡,3,unknown,unknown,unknown,None
广汉,3,unknown,unknown,unknown,None
巴郡,3,unknown,unknown,unknown,None
连城,3,unknown,unknown,unknown,None
郑度,3,unknown,unknown,unknown,None
之滨,3,unknown,unknown,unknown,None
巴中,3,unknown,unknown,unknown,None
上高阜,3,unknown,unknown,unknown,None
非君,3,unknown,unknown,unknown,None
满谷,3,unknown,unknown,unknown,None
平南,3,unknown,unknown,unknown,None
故耳,3,unknown,unknown,unknown,None
西路,3,unknown,unknown,unknown,None
安溪,3,unknown,unknown,unknown,None
云集,3,unknown,unknown,unknown,None
归国,3,unknown,unknown,unknown,None
东关,3,unknown,unknown,unknown,None
南谷,3,unknown,unknown,unknown,None
柏梁台,3,unknown,unknown,unknown,None
保国,3,unknown,unknown,unknown,None
七庙,3,unknown,unknown,unknown,None
濮阳兴,3,unknown,unknown,unknown,None
巴山,3,unknown,unknown,unknown,None
美化,2,unknown,unknown,unknown,None
入山,2,unknown,unknown,unknown,None
竟陵,2,unknown,unknown,unknown,None
入店,2,unknown,unknown,unknown,None
伏山,2,unknown,unknown,unknown,None
官拜,2,unknown,unknown,unknown,None
曲阳,2,unknown,unknown,unknown,None
遂平,2,unknown,unknown,unknown,None
钱塘,2,unknown,unknown,unknown,None
南郊,2,unknown,unknown,unknown,None
定州,2,unknown,unknown,unknown,None
安喜县,2,unknown,unknown,unknown,None
来京,2,unknown,unknown,unknown,None
入海,2,unknown,unknown,unknown,None
赞拜,2,unknown,unknown,unknown,None
入京,2,unknown,unknown,unknown,None
上建,2,unknown,unknown,unknown,None
东都,2,unknown,unknown,unknown,None
土冈,2,unknown,unknown,unknown,None
合吾意,2,unknown,unknown,unknown,None
孟津,2,unknown,unknown,unknown,None
鲁国,2,unknown,unknown,unknown,None
延平,2,unknown,unknown,unknown,None
桥西,2,unknown,unknown,unknown,None
上桥,2,unknown,unknown,unknown,None
上坡,2,unknown,unknown,unknown,None
土坡,2,unknown,unknown,unknown,None
青春,2,unknown,unknown,unknown,None
太中,2,unknown,unknown,unknown,None
黄县,2,unknown,unknown,unknown,None
黄马,2,unknown,unknown,unknown,None
之原,2,unknown,unknown,unknown,None
葛陂,2,unknown,unknown,unknown,None
势如劈竹,2,unknown,unknown,unknown,None
两雄,2,unknown,unknown,unknown,None
终南山,2,unknown,unknown,unknown,None
兴平,2,unknown,unknown,unknown,None
无马,2,unknown,unknown,unknown,None
洛阳城,2,unknown,unknown,unknown,None
之安,2,unknown,unknown,unknown,None
河口,2,unknown,unknown,unknown,None
中庭,2,unknown,unknown,unknown,None
深山,2,unknown,unknown,unknown,None
岭南,2,unknown,unknown,unknown,None
宣城,2,unknown,unknown,unknown,None
山阴,2,unknown,unknown,unknown,None
四寨,2,unknown,unknown,unknown,None
沂都,2,unknown,unknown,unknown,None
爪牙,2,unknown,unknown,unknown,None
渡淮,2,unknown,unknown,unknown,None
库藏,2,unknown,unknown,unknown,None
遂纳,2,unknown,unknown,unknown,None
上关,2,unknown,unknown,unknown,None
泗水,2,unknown,unknown,unknown,None
高原,2,unknown,unknown,unknown,None
满门,2,unknown,unknown,unknown,None
故特,2,unknown,unknown,unknown,None
乃国,2,unknown,unknown,unknown,None
之耳,2,unknown,unknown,unknown,None
大海,2,unknown,unknown,unknown,None
嵩山,2,unknown,unknown,unknown,None
望城,2,unknown,unknown,unknown,None
兴隆,2,unknown,unknown,unknown,None
享国,2,unknown,unknown,unknown,None
奉汉,2,unknown,unknown,unknown,None
二哥,2,unknown,unknown,unknown,None
昔为,2,unknown,unknown,unknown,None
吉平,2,unknown,unknown,unknown,None
圣明,2,unknown,unknown,unknown,None
入门,2,unknown,unknown,unknown,None
入拜,2,unknown,unknown,unknown,None
武阳,2,unknown,unknown,unknown,None
东岭,2,unknown,unknown,unknown,None
非关,2,unknown,unknown,unknown,None
太阳,2,unknown,unknown,unknown,None
罗拜,2,unknown,unknown,unknown,None
上屋,2,unknown,unknown,unknown,None
东城,2,unknown,unknown,unknown,None
冀北,2,unknown,unknown,unknown,None
如林,2,unknown,unknown,unknown,None
东西南北,2,unknown,unknown,unknown,None
九里山,2,unknown,unknown,unknown,None
白沟,2,unknown,unknown,unknown,None
之谊,2,unknown,unknown,unknown,None
镇北,2,unknown,unknown,unknown,None
壶关,2,unknown,unknown,unknown,None
南越,2,unknown,unknown,unknown,None
酒兴,2,unknown,unknown,unknown,None
大溪,2,unknown,unknown,unknown,None
城西,2,unknown,unknown,unknown,None
南漳,2,unknown,unknown,unknown,None
赞美,2,unknown,unknown,unknown,None
东连吴,2,unknown,unknown,unknown,None
豫山,2,unknown,unknown,unknown,None
河水,2,unknown,unknown,unknown,None
二县,2,unknown,unknown,unknown,None
永镇,2,unknown,unknown,unknown,None
景山,2,unknown,unknown,unknown,None
桥东,2,unknown,unknown,unknown,None
长坂坡,2,unknown,unknown,unknown,None
龙潭,2,unknown,unknown,unknown,None
之威,2,unknown,unknown,unknown,None
夏口,2,unknown,unknown,unknown,None
西连,2,unknown,unknown,unknown,None
以肃,2,unknown,unknown,unknown,None
泽及,2,unknown,unknown,unknown,None
汉南,2,unknown,unknown,unknown,None
鄱阳,2,unknown,unknown,unknown,None
太仓,2,unknown,unknown,unknown,None
临漳,2,unknown,unknown,unknown,None
江畔,2,unknown,unknown,unknown,None
朝阳,2,unknown,unknown,unknown,None
上铺,2,unknown,unknown,unknown,None
东山,2,unknown,unknown,unknown,None
塞北,2,unknown,unknown,unknown,None
乌鹊南,2,unknown,unknown,unknown,None
张南,2,unknown,unknown,unknown,None
长戈,2,unknown,unknown,unknown,None
黄州,2,unknown,unknown,unknown,None
绕江,2,unknown,unknown,unknown,None
湘江,2,unknown,unknown,unknown,None
回南,2,unknown,unknown,unknown,None
驻马坡,2,unknown,unknown,unknown,None
荷蒙,2,unknown,unknown,unknown,None
荆南,2,unknown,unknown,unknown,None
蒲阪津,2,unknown,unknown,unknown,None
循河,2,unknown,unknown,unknown,None
北渡,2,unknown,unknown,unknown,None
汉宁,2,unknown,unknown,unknown,None
三峡,2,unknown,unknown,unknown,None
之盛,2,unknown,unknown,unknown,None
望西川,2,unknown,unknown,unknown,None
广布,2,unknown,unknown,unknown,None
山北,2,unknown,unknown,unknown,None
山南,2,unknown,unknown,unknown,None
巴州,2,unknown,unknown,unknown,None
德阳,2,unknown,unknown,unknown,None
望西,2,unknown,unknown,unknown,None
威胜,2,unknown,unknown,unknown,None
龙尾,2,unknown,unknown,unknown,None
朝野,2,unknown,unknown,unknown,None
吐丝,2,unknown,unknown,unknown,None
成罗,2,unknown,unknown,unknown,None
北溪,2,unknown,unknown,unknown,None
无寿,2,unknown,unknown,unknown,None
乃汉,2,unknown,unknown,unknown,None
六街三市,2,unknown,unknown,unknown,None
上虞,2,unknown,unknown,unknown,None
半山,2,unknown,unknown,unknown,None
龙兴,2,unknown,unknown,unknown,None
深渊,2,unknown,unknown,unknown,None
跃龙,2,unknown,unknown,unknown,None
南昌,2,unknown,unknown,unknown,None
万国,2,unknown,unknown,unknown,None
五溪,2,unknown,unknown,unknown,None
江州,2,unknown,unknown,unknown,None
青城山,2,unknown,unknown,unknown,None
不亚,2,unknown,unknown,unknown,None
夹江,2,unknown,unknown,unknown,None
包原,2,unknown,unknown,unknown,None
马鞍山,2,unknown,unknown,unknown,None
古庙,2,unknown,unknown,unknown,None
上殿,2,unknown,unknown,unknown,None
蜀连,2,unknown,unknown,unknown,None
淮河,2,unknown,unknown,unknown,None
越岭,2,unknown,unknown,unknown,None
汝原,2,unknown,unknown,unknown,None
洞丁,2,unknown,unknown,unknown,None
八纳洞,2,unknown,unknown,unknown,None
蜀寨,2,unknown,unknown,unknown,None
三城,2,unknown,unknown,unknown,None
上梁,2,unknown,unknown,unknown,None
孟达,2,unknown,unknown,unknown,None
扎寨,2,unknown,unknown,unknown,None
太阴,2,unknown,unknown,unknown,None
六丁,2,unknown,unknown,unknown,None
岱曰,2,unknown,unknown,unknown,None
大兴土木,2,unknown,unknown,unknown,None
南寨,2,unknown,unknown,unknown,None
嘉平,2,unknown,unknown,unknown,None
永宁,2,unknown,unknown,unknown,None
洮西,2,unknown,unknown,unknown,None
上楼,2,unknown,unknown,unknown,None
安丰,2,unknown,unknown,unknown,None
淮水,2,unknown,unknown,unknown,None
沈岭,2,unknown,unknown,unknown,None
虎林,2,unknown,unknown,unknown,None
湖山,2,unknown,unknown,unknown,None
邓敦,2,unknown,unknown,unknown,None
攀木,2,unknown,unknown,unknown,None
五原,1,unknown,unknown,unknown,None
日非,1,unknown,unknown,unknown,None
角拜,1,unknown,unknown,unknown,None
豫八州,1,unknown,unknown,unknown,None
大圣,1,unknown,unknown,unknown,None
涿鹿,1,unknown,unknown,unknown,None
乌牛,1,unknown,unknown,unknown,None
吉利,1,unknown,unknown,unknown,None
济南,1,unknown,unknown,unknown,None
郡县,1,unknown,unknown,unknown,None
上街,1,unknown,unknown,unknown,None
呼拜,1,unknown,unknown,unknown,None
内省,1,unknown,unknown,unknown,None
北宫,1,unknown,unknown,unknown,None
邙山,1,unknown,unknown,unknown,None
太甲,1,unknown,unknown,unknown,None
桐宫,1,unknown,unknown,unknown,None
建阳,1,unknown,unknown,unknown,None
以利,1,unknown,unknown,unknown,None
永乐,1,unknown,unknown,unknown,None
中牟县,1,unknown,unknown,unknown,None
成皋,1,unknown,unknown,unknown,None
西村,1,unknown,unknown,unknown,None
卫国,1,unknown,unknown,unknown,None
德州,1,unknown,unknown,unknown,None
平原县,1,unknown,unknown,unknown,None
焉用,1,unknown,unknown,unknown,None
骑花鬃马,1,unknown,unknown,unknown,None
黄鬃马,1,unknown,unknown,unknown,None
无斯,1,unknown,unknown,unknown,None
西都,1,unknown,unknown,unknown,None
汉东,1,unknown,unknown,unknown,None
赤眉,1,unknown,unknown,unknown,None
大河,1,unknown,unknown,unknown,None
荆山,1,unknown,unknown,unknown,None
洞庭湖,1,unknown,unknown,unknown,None
宜阳,1,unknown,unknown,unknown,None
驻丹,1,unknown,unknown,unknown,None
河桥东,1,unknown,unknown,unknown,None
列拜,1,unknown,unknown,unknown,None
彼营,1,unknown,unknown,unknown,None
江都,1,unknown,unknown,unknown,None
牡丹亭,1,unknown,unknown,unknown,None
昭阳,1,unknown,unknown,unknown,None
梁州,1,unknown,unknown,unknown,None
红牙,1,unknown,unknown,unknown,None
朝堂,1,unknown,unknown,unknown,None
香罗,1,unknown,unknown,unknown,None
荷花池,1,unknown,unknown,unknown,None
荷池,1,unknown,unknown,unknown,None
朝门,1,unknown,unknown,unknown,None
北掖,1,unknown,unknown,unknown,None
孝武,1,unknown,unknown,unknown,None
宣平门,1,unknown,unknown,unknown,None
池阳,1,unknown,unknown,unknown,None
美阳,1,unknown,unknown,unknown,None
中马,1,unknown,unknown,unknown,None
抚安,1,unknown,unknown,unknown,None
寿阳,1,unknown,unknown,unknown,None
颍阴,1,unknown,unknown,unknown,None
乃东,1,unknown,unknown,unknown,None
武城,1,unknown,unknown,unknown,None
古寺,1,unknown,unknown,unknown,None
安顿,1,unknown,unknown,unknown,None
三县,1,unknown,unknown,unknown,None
且州县,1,unknown,unknown,unknown,None
名竺,1,unknown,unknown,unknown,None
曲阜,1,unknown,unknown,unknown,None
深恩,1,unknown,unknown,unknown,None
绍纳,1,unknown,unknown,unknown,None
以州,1,unknown,unknown,unknown,None
泰山路,1,unknown,unknown,unknown,None
雁门,1,unknown,unknown,unknown,None
乃典,1,unknown,unknown,unknown,None
西巷,1,unknown,unknown,unknown,None
深根固本,1,unknown,unknown,unknown,None
